Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-6.162,-12.381,0,255,255,255
250,-6.1637,-12.3774,0.0108,255,255,255
500,-6.1704,-12.3636,0.0521,255,255,255
750,-6.1819,-12.3398,0.1234,255,255,255
1000,-6.1982,-12.3061,0.2242,255,255,255
1250,-6.2191,-12.2629,0.3535,255,255,255
1500,-6.2445,-12.2103,0.5107,255,255,255
1750,-6.2742,-12.1487,0.695,255,255,255
2000,-6.3082,-12.0783,0.9056,255,255,255
2250,-6.3463,-11.9994,1.1419,255,255,255
2500,-6.3885,-11.9121,1.403,255,255,255
2750,-6.4345,-11.8167,1.6882,255,255,255
3000,-6.4842,-11.7136,1.9967,255,255,255
3250,-6.5377,-11.6028,2.3278,255,255,255
3500,-6.5946,-11.4848,2.6808,255,255,255
3750,-6.6549,-11.3597,3.0549,255,255,255
4000,-6.7185,-11.2278,3.4493,255,255,255
4250,-6.7852,-11.0893,3.8632,255,255,255
4500,-6.855,-10.9445,4.296,255,255,255
4750,-6.9276,-10.7936,4.7469,255,255,255
5000,-7.0031,-10.637,5.2152,255,255,255
5250,-7.0812,-10.4747,5.7,255,255,255
5500,-7.1618,-10.3072,6.2006,255,255,255
5750,-7.2448,-10.1346,6.7163,255,255,255
6000,-7.3302,-9.9572,7.2463,255,255,255
6250,-7.4177,-9.7752,7.7899,255,255,255
6500,-7.5072,-9.5889,8.3463,255,255,255
6750,-7.5987,-9.3985,8.9147,255,255,255
7000,-7.692,-9.2043,9.4945,255,255,255
7250,-7.7869,-9.0066,10.0848,255,255,255
7500,-7.8834,-8.8055,10.685,255,255,255
7750,-7.9814,-8.6014,11.2944,255,255,255
8000,-8.0808,-8.3945,11.9121,255,255,255
8250,-8.1814,-8.1851,12.5375,255,255,255
8500,-8.2831,-7.9733,13.1698,255,255,255
8750,-8.3858,-7.7596,13.8083,255,255,255
9000,-8.4894,-7.544,14.4522,255,255,255
9250,-8.5938,-7.3269,15.1007,255,255,255
9500,-8.6988,-7.1085,15.7531,255,255,255
9750,-8.8043,-6.889,16.4087,255,255,255
10000,-8.9102,-6.6688,17.0667,255,255,255
10250,-9.0164,-6.448,17.7264,255,255,255
10500,-9.1228,-6.227,18.3869,255,255,255
10750,-9.2292,-6.0059,19.0476,255,255,255
11000,-9.3354,-5.785,19.7077,255,255,255
11250,-9.4415,-5.5646,20.3665,255,255,255
